                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                0.61124,                0.46741,                0.93884,                0.92571,                0.89986,                 0.9421,                0.82723,                0.53499,                0.36122,                0.84315,             2.8286e-05,             2.8286e-05,             2.8286e-05
                     79,                0.62164,                0.46682,                0.94031,                 0.9248,                0.90199,                0.94355,                0.83187,                0.53283,                0.35886,                0.84259,             2.7108e-05,             2.7108e-05,             2.7108e-05
                     80,                0.60405,                0.45946,                0.93375,                 0.9257,                0.90068,                0.94453,                0.83063,                0.53164,                0.35716,                0.84204,              2.593e-05,              2.593e-05,              2.593e-05
                     81,                0.63725,                0.48262,                0.93975,                0.93068,                0.89926,                 0.9445,                0.83392,                0.52993,                0.35723,                0.84153,             2.4752e-05,             2.4752e-05,             2.4752e-05
                     82,                0.64818,                0.46488,                0.93889,                0.93478,                0.89747,                0.94478,                 0.8349,                0.52877,                0.35698,                 0.8411,             2.3574e-05,             2.3574e-05,             2.3574e-05
                     83,                0.66242,                 0.4835,                0.94254,                0.93169,                0.89898,                0.94528,                0.83793,                0.52782,                0.35658,                0.84077,             2.2396e-05,             2.2396e-05,             2.2396e-05
                     84,                0.60567,                0.45568,                0.93791,                0.93063,                0.90554,                0.94673,                0.83622,                0.52635,                0.35544,                0.84019,             2.1218e-05,             2.1218e-05,             2.1218e-05
                     85,                0.63503,                0.46748,                0.95012,                0.93347,                0.90349,                0.94543,                0.83667,                  0.526,                0.35534,                0.84005,              2.004e-05,              2.004e-05,              2.004e-05
                     86,                0.63113,                0.44589,                 0.9365,                0.93198,                0.90285,                0.94517,                0.83709,                0.52528,                0.35411,                0.83988,             1.8862e-05,             1.8862e-05,             1.8862e-05
                     87,                0.62501,                0.46262,                0.93961,                0.93279,                0.90381,                0.94511,                0.83741,                0.52343,                0.35287,                0.83941,             1.7683e-05,             1.7683e-05,             1.7683e-05
                     88,                 0.6096,                 0.4506,                0.93919,                0.93238,                  0.901,                0.94378,                0.83657,                0.52227,                0.35265,                0.83906,             1.6505e-05,             1.6505e-05,             1.6505e-05
                     89,                0.64066,                0.46261,                0.93077,                0.93119,                0.90201,                0.94394,                 0.8375,                0.52101,                 0.3515,                0.83855,             1.5327e-05,             1.5327e-05,             1.5327e-05
                     90,                0.63605,                0.45661,                0.93644,                0.93353,                0.90054,                0.94445,                0.83877,                0.51931,                0.35037,                0.83801,             1.4149e-05,             1.4149e-05,             1.4149e-05
                     91,                0.62818,                0.45051,                0.90679,                0.93617,                 0.8991,                0.94408,                0.83982,                0.52564,                0.35467,                0.83896,             1.2971e-05,             1.2971e-05,             1.2971e-05
                     92,                0.67031,                0.51484,                0.90322,                0.94272,                0.89687,                0.94299,                0.83744,                0.53494,                0.35992,                0.84111,             1.1793e-05,             1.1793e-05,             1.1793e-05
                     93,                0.68136,                0.54492,                0.91859,                 0.9433,                 0.8901,                0.94243,                0.83211,                0.54081,                0.36496,                0.84302,             1.0615e-05,             1.0615e-05,             1.0615e-05
                     94,                0.66282,                0.51103,                0.92462,                 0.9468,                0.88513,                0.94214,                0.82995,                0.54609,                0.36961,                0.84478,             9.4367e-06,             9.4367e-06,             9.4367e-06
                     95,                0.65448,                0.46534,                 0.9171,                0.94866,                0.88167,                0.94142,                0.83049,                0.55019,                0.37315,                0.84616,             8.2586e-06,             8.2586e-06,             8.2586e-06
                     96,                0.64835,                0.47097,                0.90848,                0.94833,                0.88077,                0.94117,                0.82837,                0.55451,                0.37719,                0.84719,             7.0805e-06,             7.0805e-06,             7.0805e-06
                     97,                0.62726,                0.45084,                0.91152,                0.94932,                0.88046,                0.94034,                0.82813,                0.55547,                0.37886,                0.84731,             5.9024e-06,             5.9024e-06,             5.9024e-06
                     98,                0.61324,                0.42671,                0.90208,                0.94833,                0.88006,                0.94034,                0.82688,                0.55533,                0.37942,                0.84723,             4.7243e-06,             4.7243e-06,             4.7243e-06
                     99,                 0.6154,                0.44999,                0.90096,                0.94859,                0.87847,                0.94015,                0.82537,                 0.5575,                0.38088,                0.84799,             3.5462e-06,             3.5462e-06,             3.5462e-06
                    100,                0.65255,                0.45568,                0.92129,                0.94848,                0.87779,                0.93909,                0.82517,                0.55905,                0.38157,                0.84825,             2.3681e-06,             2.3681e-06,             2.3681e-06
